FRAMES,1,2,3,4,5,6,7,8,9,10
0,15,15,15,15,15,15,15,15,15,15
1,15,15,15,15,15,15,15,15,15,15
2,15,15,15,15,15,15,15,15,15,15
3,15,15,15,15,15,15,15,15,15,15
4,15,15,15,15,15,15,15,15,15,15
5,15,15,15,15,15,15,15,15,15,15
6,15,15,15,15,15,15,15,15,15,15
7,15,15,15,15,15,15,15,15,15,15
8,15,15,15,15,15,15,15,15,15,15
9,15,15,15,15,15,15,15,15,15,15
10,15,15,15,15,15,15,15,15,15,15
11,15,15,15,15,15,15,15,15,15,15
12,15,15,15,15,15,15,15,15,15,15
13,15,15,15,15,15,15,15,15,15,15
14,15,15,15,15,15,15,15,15,15,15
15,15,15,15,15,15,15,15,15,15,15
16,15,15,15,15,15,15,15,15,15,15
17,15,15,15,15,15,15,15,15,15,15
18,15,15,15,15,15,15,15,15,15,15
19,15,15,15,15,15,15,15,15,15,15
20,15,15,15,15,15,15,15,15,15,15
21,15,15,15,15,15,15,15,15,15,15
22,15,15,15,15,15,15,15,15,15,15
23,15,15,15,15,15,15,15,15,15,15
24,15,15,15,15,15,15,15,15,15,15
25,15,15,15,15,15,15,15,15,15,15
26,15,15,15,15,15,15,15,15,15,15
27,15,15,15,15,15,15,15,15,15,15
28,15,15,15,15,15,15,15,15,15,15
29,15,15,15,15,15,15,15,15,15,15
30,15,15,15,15,15,15,15,15,15,15
31,15,15,15,15,15,15,15,15,15,15
32,15,15,15,15,15,15,15,15,15,15
33,15,15,15,15,15,15,15,15,15,15
34,15,15,15,15,15,15,15,15,15,15
35,15,15,15,15,15,15,15,15,15,15
36,15,15,15,15,15,15,15,15,15,15
37,15,15,15,15,15,15,15,15,15,15
38,15,15,15,15,15,15,15,15,15,15
39,15,15,15,15,15,15,15,15,15,15
40,15,15,15,15,15,15,15,15,15,15
41,15,15,15,15,15,15,15,15,15,15
42,15,15,15,15,15,15,15,15,15,15
43,15,15,15,15,15,15,15,15,15,15
44,15,15,15,15,15,15,15,15,15,15
45,15,15,15,15,15,15,15,15,15,15
46,15,15,15,15,15,15,15,15,15,15
47,15,15,15,15,15,15,15,15,15,15
48,15,15,15,15,15,15,15,15,15,15
49,15,15,15,15,15,15,15,15,15,15
50,15,15,15,15,15,15,15,15,15,15
51,15,15,15,15,15,15,15,15,15,15
52,15,15,15,15,15,15,15,15,15,15
53,15,15,15,15,15,15,15,15,15,15
54,15,15,15,15,15,15,15,15,15,15
55,15,15,15,15,15,15,15,15,15,15
56,15,15,15,15,15,15,15,15,15,15
57,15,15,15,15,15,15,15,15,15,15
58,15,15,15,15,15,15,15,15,15,15
59,15,15,15,15,15,15,15,15,15,15
60,15,15,15,15,15,15,15,15,15,15
61,15,15,15,15,15,15,15,15,15,15
62,15,15,15,15,15,15,15,15,15,15
63,15,15,15,15,15,15,15,15,15,15
64,15,15,15,15,15,15,15,15,15,15
65,15,15,15,15,15,15,15,15,15,15
66,15,15,15,15,15,15,15,15,15,15
67,15,15,15,15,15,15,15,15,15,15
68,15,15,15,15,15,15,15,15,15,15
69,15,15,15,15,15,15,15,15,15,15
70,15,15,15,15,15,15,15,15,15,15
71,15,15,15,15,15,15,15,15,15,15
72,15,15,15,15,15,15,15,15,15,15
73,15,15,15,15,15,15,15,15,15,15
74,15,15,15,15,15,15,15,15,15,15
75,15,15,15,15,15,15,15,15,15,15
76,15,15,15,15,15,15,15,15,15,15
77,15,15,15,15,15,15,15,15,15,15
78,15,15,15,15,15,15,15,15,15,15
79,15,15,15,15,15,15,15,15,15,15
80,15,15,15,15,15,15,15,15,15,15
81,15,15,15,15,15,15,15,15,15,15
82,15,15,15,15,15,15,15,15,15,15
83,15,15,15,15,15,15,15,15,15,15
84,15,15,15,15,15,15,15,15,15,15
85,15,15,15,15,15,15,15,15,15,15
86,15,15,15,15,15,15,15,15,15,15
87,15,15,15,15,15,15,15,15,15,15
88,15,15,15,15,15,15,15,15,15,15
89,15,15,15,15,15,15,15,15,15,15
90,15,15,15,15,15,15,15,15,15,15
91,15,15,15,15,15,15,15,15,15,15
92,15,15,15,15,15,15,15,15,15,15
93,15,15,15,15,15,15,15,15,15,15
94,15,15,15,15,15,15,15,15,15,15
95,15,15,15,15,15,15,15,15,15,15
96,15,15,15,15,15,15,15,15,15,15
97,15,15,15,15,15,15,15,15,15,15
98,15,15,15,15,15,15,15,15,15,15
99,15,15,15,15,15,15,15,15,15,15
